lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a_j.1,a_j.2,a_j.3,a_j.4,a_j.5,a_j.6,a_j.7,a_j.8,a_j.9,a_j.10,a_j.11,a_j.12,a_j.13,a_b.1,a_b.2,a_b.3,a_b.4,a_b.5,a_b.6,a_b.7,a_b.8,a_b.9,a_b.10,a_b.11,a_b.12,a_b.13,theta.1,theta.2,y5.1,y5.2,p_j.1,p_j.2,p_j.3,p_j.4,p_j.5,p_j.6,p_j.7,p_j.8,p_j.9,p_j.10,p_j.11,p_j.12,p_j.13,p_j.14,logp_j.1,logp_j.2,logp_j.3,logp_j.4,logp_j.5,logp_j.6,logp_j.7,logp_j.8,logp_j.9,logp_j.10,logp_j.11,logp_j.12,logp_j.13,logp_j.14,sign_j.1,sign_j.2,sign_j.3,sign_j.4,sign_j.5,sign_j.6,sign_j.7,sign_j.8,sign_j.9,sign_j.10,sign_j.11,sign_j.12,sign_j.13,p_b.1,p_b.2,p_b.3,p_b.4,p_b.5,p_b.6,p_b.7,p_b.8,p_b.9,p_b.10,p_b.11,p_b.12,p_b.13,p_b.14,logp_b.1,logp_b.2,logp_b.3,logp_b.4,logp_b.5,logp_b.6,logp_b.7,logp_b.8,logp_b.9,logp_b.10,logp_b.11,logp_b.12,logp_b.13,logp_b.14,sign_b.1,sign_b.2,sign_b.3,sign_b.4,sign_b.5,sign_b.6,sign_b.7,sign_b.8,sign_b.9,sign_b.10,sign_b.11,sign_b.12,sign_b.13
# Adaptation terminated
# Step size = 0.176997
# Diagonal elements of inverse mass matrix:
# 0.375285, 0.0432612, 0.0824957, 0.777062, 0.148658, 0.566789, 0.992453, 0.443963, 0.146895, 1.05665, 1.60844, 0.800994, 0.937112, 1.43108, 1.06355, 1.10013, 1.07886, 1.28478, 0.891419, 1.25162, 1.13211, 1.24389, 1.23378, 1.10405, 1.30314, 0.651886, 0.296083
-1202.43,0.968576,0.176997,4,15,0,1212.75,0.358198,1.60395,0.817035,0.0280455,0.224385,0.415753,0.155017,0.625755,0.613473,0.580984,0.39097,0.63214,0.719236,0.273252,0.519338,0.093415,0.38805,0.584074,0.457788,0.465166,0.645772,0.0897097,0.257179,0.532383,0.267462,0.613791,0.846136,0.153864,0.00954213,0.205748,0.0124214,0.0177719,0.0883733,0.200058,0.205748,0.164394,0.108474,0.0928974,0.0496869,0.0269038,0.0150486,0.0101789,0.00540959,0.00263514,0,0.358198,1.96215,2.77918,2.80723,2.58284,2.16709,2.01207,1.38632,0.772847,0.191863,-0.199107,-0.831247,-1.55048,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00266889,0.00350754,0.00589587,0.00647318,0.00954213,0.0171122,0.0270471,0.0430665,0.0821475,0.0898576,0.116211,0.197905,0.258592,0.139974,0,0.273252,0.792589,0.886004,1.27405,1.85813,2.31592,2.78108,3.42685,3.51656,3.77374,4.30613,4.57359,3.9598,1,1,1,1,1,1,1,1,1,1,1,1,-1
-1204.09,0.97976,0.176997,4,31,0,1213.57,0.197082,1.67455,0.699465,0.0807335,0.236291,0.275431,0.0337259,0.493583,0.502883,0.548849,0.262513,0.367066,0.22587,0.773071,0.452737,0.117351,0.310248,0.0384456,0.479313,0.634858,0.200024,0.652291,0.714042,0.870624,0.81964,0.657057,0.934171,0.0658287,0.00509234,0.184823,0.0130342,0.0158736,0.0847074,0.170488,0.184823,0.145928,0.110795,0.10712,0.0653901,0.0395469,0.0228429,0.0175688,0.012171,0.00971033,0,0.197082,1.87163,2.57109,2.65183,2.41554,2.14011,2.10638,1.6128,1.10991,0.561064,0.298552,-0.0685146,-0.294384,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000974657,0.00211151,0.00332058,0.00373404,0.00509234,0.00529193,0.00854628,0.0161247,0.0196953,0.0378136,0.0772241,0.184442,0.418625,0.217004,0,0.773071,1.22581,1.34316,1.65341,1.69185,2.17117,2.80602,3.00605,3.65834,4.37238,5.243,6.06264,5.40559,1,1,1,1,1,1,1,1,1,1,1,1,-1
-1204.59,0.940777,0.176997,4,31,0,1215.71,0.208806,1.70423,0.670773,0.0817997,0.231282,0.274018,0.0305623,0.539238,0.52165,0.510209,0.238174,0.422984,0.195116,0.841426,0.571451,0.134403,0.309289,0.0252296,0.472807,0.510561,0.157032,0.46762,0.963934,0.675107,0.73494,0.578893,0.941056,0.0589438,0.00702975,0.184994,0.0128677,0.0158556,0.0871606,0.170464,0.184994,0.146796,0.111612,0.108252,0.0631319,0.0374713,0.0224967,0.0177288,0.011614,0.00955527,0,0.208806,1.91303,2.58381,2.66561,2.43432,2.16031,2.12974,1.59051,1.06886,0.558648,0.320474,-0.10251,-0.297626,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0010981,0.00254723,0.00451073,0.00515962,0.00702975,0.00720936,0.0115674,0.0192738,0.022551,0.0359957,0.0943804,0.185386,0.386596,0.216694,0,0.841426,1.41288,1.54728,1.85657,1.8818,2.35461,2.86517,3.0222,3.48982,4.45375,5.12886,5.8638,5.28491,1,1,1,1,1,1,1,1,1,1,1,1,-1
-1205.29,0.840621,0.176997,4,15,0,1218.5,0.966627,1.59653,0.797598,0.0228836,0.288295,0.204336,0.269278,0.299052,0.520278,0.931556,0.407973,0.593377,0.320905,0.202889,0.138176,0.979345,0.63509,0.0817619,0.400571,0.418445,0.19588,0.157902,0.180964,0.131101,0.559482,0.602817,0.889042,0.110958,0.0280328,0.195841,0.00664363,0.0174665,0.0862129,0.19141,0.195841,0.146791,0.119662,0.0914135,0.067785,0.0402884,0.0158712,0.0105543,0.00583081,0.00423021,0,0.966627,2.56316,3.36076,3.38364,3.09535,2.89101,2.62173,2.32268,1.8024,0.870848,0.462874,-0.130503,-0.451407,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00396647,0.00485867,0.00557861,0.0148542,0.0280328,0.0304211,0.0454089,0.0690032,0.0839342,0.0982914,0.11779,0.13429,0.234976,0.128595,0,0.202889,0.341065,1.32041,1.9555,2.03726,2.43783,2.85628,3.05216,3.21006,3.39102,3.52213,4.08161,3.47879,1,1,1,1,1,1,1,1,1,1,1,1,-1
-1206.54,0.898475,0.176997,4,15,0,1218.3,0.705752,1.43445,0.659815,0.0296475,0.379013,0.339882,0.137529,0.281873,0.643372,0.620988,0.376114,0.689872,0.979589,0.306496,0.163481,0.666773,0.683485,0.0739069,0.358271,0.275067,0.249396,0.0837263,0.423518,0.250112,0.481538,1.06956,0.82703,0.17297,0.0292681,0.202761,0.0119695,0.0242427,0.101755,0.196838,0.202761,0.138798,0.0988037,0.0861083,0.0649575,0.0341363,0.0183453,0.0125945,0.0063179,0.00237215,0,0.705752,2.14021,2.80002,2.82967,2.45065,2.11077,1.97324,1.69137,1.048,0.427011,0.0508965,-0.638976,-1.61856,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00474108,0.00644149,0.00758552,0.0147761,0.0292681,0.0315132,0.0450907,0.0593673,0.076183,0.0828362,0.126518,0.16247,0.262968,0.0902405,0,0.306496,0.469976,1.13675,1.82023,1.89414,2.25241,2.52748,2.77687,2.8606,3.28412,3.53423,4.01577,2.94621,1,1,1,1,1,1,1,1,1,1,1,1,-1
-1209.29,0.98236,0.176997,4,31,0,1218.71,0.780421,1.64314,0.798988,0.232547,0.288941,0.0721378,0.0923082,0.740335,0.423607,1.08389,0.165686,0.244437,0.198419,0.491004,0.509811,0.380581,0.349756,0.785119,0.575529,0.687949,0.45187,0.958518,0.31976,0.0459365,0.460038,0.216245,0.940824,0.0591755,0.00355741,0.19851,0.00626981,0.0136832,0.0707609,0.157322,0.19851,0.148695,0.138347,0.126148,0.0601667,0.03939,0.0133247,0.0112902,0.00884188,0.00725058,0,0.780421,2.42356,3.22255,3.4551,3.16615,3.09402,3.00171,2.26137,1.83777,0.753877,0.588191,0.343754,0.145336,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000629946,0.0010293,0.00171377,0.00250747,0.00355741,0.00780021,0.0138693,0.0275948,0.0433583,0.113071,0.155676,0.162994,0.258205,0.207994,0,0.491004,1.00081,1.3814,1.73115,2.51627,3.0918,3.77975,4.23162,5.19014,5.5099,5.55583,6.01587,5.79963,1,1,1,1,1,1,1,1,1,1,1,1,-1
-1203.39,0.969108,0.176997,5,47,0,1222.01,0.296875,1.6568,0.661967,0.0989647,0.30692,0.254211,0.10145,0.252281,0.583175,0.638026,0.617373,0.514572,0.405789,0.544466,0.451584,0.140314,0.426137,0.240273,0.0625125,0.219183,0.37312,0.0297766,0.401378,0.548155,0.517934,0.759929,0.883019,0.116981,0.0260349,0.191586,0.012689,0.0170749,0.0895149,0.173534,0.191586,0.140952,0.109312,0.0987664,0.0767441,0.0428327,0.02263,0.0122057,0.00729603,0.00486244,0,0.296875,1.95367,2.61564,2.7146,2.40768,2.15347,2.05202,1.79974,1.21657,0.57854,-0.0388326,-0.553404,-0.959194,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0054572,0.00940651,0.0147757,0.0170015,0.0260349,0.0331059,0.0352414,0.0438777,0.0637217,0.0656477,0.0980699,0.169667,0.284795,0.133198,0,0.544466,0.996049,1.13636,1.5625,1.80277,1.86529,2.08447,2.45759,2.48737,2.88874,3.4369,3.95483,3.1949,1,1,1,1,1,1,1,1,1,1,1,1,-1
-1208.31,0.984911,0.176997,4,15,0,1214.64,0.393082,1.41203,0.846136,0.057543,0.416432,0.342229,0.0905528,0.314518,0.457043,0.908424,0.297046,1.6121,0.287093,0.60205,0.42818,0.30465,0.355689,0.16896,0.0756602,0.375381,0.47892,0.0162255,0.615331,0.864815,0.714171,0.440371,0.920178,0.079822,0.0129626,0.210988,0.0140554,0.0208237,0.0854662,0.199189,0.210988,0.139124,0.098804,0.0902502,0.0658953,0.0417218,0.0168205,0.0124978,0.00249292,0.00187079,0,0.393082,1.80511,2.65125,2.70879,2.29236,1.95013,1.85958,1.54506,1.08802,0.179592,-0.117454,-1.72955,-2.01665,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00239049,0.0043647,0.00669747,0.00908277,0.0129626,0.0153487,0.016555,0.0240966,0.0388998,0.0395362,0.0731526,0.173706,0.354793,0.228415,0,0.60205,1.03023,1.33488,1.69057,1.85953,1.93519,2.31057,2.78949,2.80572,3.42105,4.28586,5.00003,4.55966,1,1,1,1,1,1,1,1,1,1,1,1,-1
-1204.21,0.994168,0.176997,4,15,0,1218.27,1.09303,1.61781,0.813781,0.105868,0.485838,0.164683,0.0481197,0.447846,0.558241,0.560485,0.161075,0.172813,0.865271,0.424059,0.865639,0.606483,0.0945075,0.0945978,0.0298255,0.739517,0.657154,0.289514,0.588101,0.226439,0.397253,0.261868,0.934982,0.0650175,0.0126245,0.206809,0.00548108,0.0163518,0.0824464,0.186034,0.206809,0.127225,0.107908,0.102838,0.065714,0.0376025,0.0214685,0.0182746,0.0153743,0.00647162,0,1.09303,2.71085,3.52463,3.6305,3.14466,2.97998,2.93186,2.48401,1.92577,1.36528,1.20421,1.0314,0.166125,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00172452,0.00263533,0.00626292,0.011486,0.0126245,0.013877,0.0142972,0.0299514,0.0577851,0.0771881,0.138982,0.174301,0.259314,0.199571,0,0.424059,1.2897,1.89618,1.99069,2.08529,2.11511,2.85463,3.51178,3.8013,4.3894,4.61584,5.01309,4.75122,1,1,1,1,1,1,1,1,1,1,1,1,-1
-1206.27,0.923652,0.176997,4,15,0,1215.91,0.612245,1.26976,0.628676,0.312356,0.242665,0.433757,0.105924,0.237642,1.02716,0.262544,0.10069,0.524068,0.357093,0.560238,0.258531,0.297549,0.334229,0.0321279,0.0229231,0.322629,0.176886,0.51413,0.346742,0.134345,0.383149,0.869606,0.934676,0.0653236,0.0336385,0.207882,0.0123535,0.0227868,0.0811209,0.152112,0.207882,0.163091,0.105694,0.0950712,0.0749622,0.0268381,0.0206409,0.0186638,0.011051,0.00773245,0,0.612245,1.882,2.51068,2.82304,2.58037,2.14661,2.04069,1.80305,0.775884,0.51334,0.41265,-0.111418,-0.468511,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00788627,0.0138096,0.0178837,0.0240814,0.0336385,0.0347368,0.0355422,0.049075,0.0585708,0.0979411,0.138533,0.158452,0.232433,0.0974165,0,0.560238,0.818768,1.11632,1.45055,1.48267,1.5056,1.82823,2.00511,2.51924,2.86598,3.00033,3.38348,2.51387,1,1,1,1,1,1,1,1,1,1,1,1,-1
