# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = _1D_gp1_no_correlation_parallel_model
# start_datetime = 2024-03-01 10:29:27 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.850000
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = models/gp/1D01-03-2024.07.28hs.json
# init = 2 (Default)
# random
#   seed = 10000
# output
#   file = models/notebooks/results/1D01-03-2024.07.28hs-results.csv
#   diagnostic_file = models/notebooks/results/1D01-03-2024.07.28hs-diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 18
# stanc_version = stanc3 v2.33.0-rc1-80-gb609679
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,y8.1,y8.2,yj_remain.1,yj_remain.2,yj_remain.3,yj_remain.4,yj_remain.5,yj_remain.6,yj_remain.7,yj_remain.8,yj_remain.9,yj_remain.10,yj_remain.11,yj_remain.12,yj_remain.13,yb_remain.1,yb_remain.2,yb_remain.3,yb_remain.4,yb_remain.5,yb_remain.6,yb_remain.7,yb_remain.8,yb_remain.9,yb_remain.10,yb_remain.11,yb_remain.12,yb_remain.13,theta.1,theta.2,yj.1,yj.2,yj.3,yj.4,yj.5,yj.6,yj.7,yj.8,yj.9,yj.10,yj.11,yj.12,yj.13,yj.14,yb.1,yb.2,yb.3,yb.4,yb.5,yb.6,yb.7,yb.8,yb.9,yb.10,yb.11,yb.12,yb.13,yb.14
# Adaptation terminated
# Step size = 0.000726584
# Diagonal elements of inverse mass matrix:
# 0.222134, 0.111145, 0.1522, 0.149354, 0.161957, 0.161174, 0.133033, 0.13633, 0.162325, 0.179754, 0.179515, 0.201885, 0.242683, 0.26989, 0.27264, 0.251837, 0.233536, 0.211891, 0.210729, 0.2362, 0.243979, 0.206704, 0.157391, 0.179098, 0.245205, 0.272961, 0.243845, 0.206925, 0.136101
-1087.83,0.860852,0.000726584,13,8191,0,1101.17,-3.98447,-2.07066,-6.63673,-3.53824,-2.45037,-2.05604,-2.17098,-2.28003,-2.78909,-4.0437,-5.86867,-7.96576,-10.6373,-14.9665,-24.7662,-10.9984,-7.60221,-5.95598,-4.79762,-3.40494,-3.00327,-2.77341,-2.64783,-2.48887,-2.21554,-1.92896,-1.91367,-2.82249,0.842,0.158,-6.63673,-3.53824,-2.45037,-2.05604,-2.07066,-2.17098,-2.28003,-2.78909,-4.0437,-5.86867,-7.96576,-10.6373,-14.9665,-24.7662,-10.9984,-7.60221,-5.95598,-4.79762,-3.98447,-3.40494,-3.00327,-2.77341,-2.64783,-2.48887,-2.21554,-1.92896,-1.91367,-2.82249
-1080.81,0.963861,0.000726584,11,4095,0,1098.57,-4.01956,-1.89273,-6.98056,-3.7439,-2.54241,-2.01088,-2.06134,-2.41708,-3.00231,-3.98135,-5.51333,-7.68145,-10.6287,-15.0773,-24.8577,-11.2102,-7.54733,-5.94005,-4.86393,-3.41614,-3.06202,-2.85315,-2.66842,-2.43285,-2.11877,-1.81948,-1.85471,-2.91753,0.812889,0.187111,-6.98056,-3.7439,-2.54241,-2.01088,-1.89273,-2.06134,-2.41708,-3.00231,-3.98135,-5.51333,-7.68145,-10.6287,-15.0773,-24.8577,-11.2102,-7.54733,-5.94005,-4.86393,-4.01956,-3.41614,-3.06202,-2.85315,-2.66842,-2.43285,-2.11877,-1.81948,-1.85471,-2.91753
-1082.99,0.832453,0.000726584,14,16383,0,1095.3,-4.06019,-1.50289,-6.35079,-3.23197,-2.12127,-1.61971,-1.59528,-1.82801,-2.35858,-3.37342,-4.91603,-6.99624,-9.82289,-14.2677,-24.2763,-11.1174,-7.61071,-5.98793,-4.87745,-3.42,-2.98542,-2.82976,-2.7897,-2.55677,-2.06281,-1.60596,-1.62655,-2.72413,0.793938,0.206062,-6.35079,-3.23197,-2.12127,-1.61971,-1.50289,-1.59528,-1.82801,-2.35858,-3.37342,-4.91603,-6.99624,-9.82289,-14.2677,-24.2763,-11.1174,-7.61071,-5.98793,-4.87745,-4.06019,-3.42,-2.98542,-2.82976,-2.7897,-2.55677,-2.06281,-1.60596,-1.62655,-2.72413
-1088.17,0.9912,0.000726584,13,8191,0,1100.26,-3.66165,-1.01533,-5.98254,-2.80131,-1.58195,-1.06621,-1.16565,-1.43368,-2.06272,-3.27887,-5.06721,-7.39607,-10.4256,-14.8614,-24.5565,-10.9314,-6.98545,-5.23852,-4.25825,-3.30751,-3.24031,-3.47297,-3.79919,-3.88958,-3.57249,-3.07917,-3.0032,-4.12645,0.738217,0.261783,-5.98254,-2.80131,-1.58195,-1.06621,-1.01533,-1.16565,-1.43368,-2.06272,-3.27887,-5.06721,-7.39607,-10.4256,-14.8614,-24.5565,-10.9314,-6.98545,-5.23852,-4.25825,-3.66165,-3.30751,-3.24031,-3.47297,-3.79919,-3.88958,-3.57249,-3.07917,-3.0032,-4.12645
-1085.74,0.987809,0.000726584,13,8191,0,1103.25,-3.53792,-1.63435,-6.46521,-3.34216,-2.15354,-1.66603,-1.74735,-1.93428,-2.48375,-3.61246,-5.28812,-7.52271,-10.5358,-15.0021,-24.7149,-10.3342,-6.4337,-4.71277,-3.85803,-3.4262,-3.3833,-3.47057,-3.60841,-3.50939,-3.03673,-2.50772,-2.49134,-3.64274,0.78828,0.21172,-6.46521,-3.34216,-2.15354,-1.66603,-1.63435,-1.74735,-1.93428,-2.48375,-3.61246,-5.28812,-7.52271,-10.5358,-15.0021,-24.7149,-10.3342,-6.4337,-4.71277,-3.85803,-3.53792,-3.4262,-3.3833,-3.47057,-3.60841,-3.50939,-3.03673,-2.50772,-2.49134,-3.64274
-1085.51,0.98052,0.000726584,13,8191,0,1096.4,-4.09692,-1.52574,-6.43728,-3.28559,-2.11255,-1.5904,-1.73398,-1.99574,-2.41835,-3.42199,-5.19108,-7.526,-10.4478,-14.8864,-24.8796,-11.4928,-7.78575,-6.12614,-5.03178,-3.23525,-2.68174,-2.5677,-2.6437,-2.53422,-2.102,-1.63743,-1.65742,-2.73353,0.827958,0.172042,-6.43728,-3.28559,-2.11255,-1.5904,-1.52574,-1.73398,-1.99574,-2.41835,-3.42199,-5.19108,-7.526,-10.4478,-14.8864,-24.8796,-11.4928,-7.78575,-6.12614,-5.03178,-4.09692,-3.23525,-2.68174,-2.5677,-2.6437,-2.53422,-2.102,-1.63743,-1.65742,-2.73353
