lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,yj.1,yj.2,yj.3,yj.4,yj.5,yj.6,yj.7,yj.8,yj.9,yj.10,yj.11,yj.12,yj.13,yj.14,yb.1,yb.2,yb.3,yb.4,yb.5,yb.6,yb.7,yb.8,yb.9,yb.10,yb.11,yb.12,yb.13,yb.14,theta.1,theta.2
# Adaptation terminated
# Step size = 0.0396874
# Diagonal elements of inverse mass matrix:
# 0.268873, 0.141979, 0.0239345, 0.0152947, 0.0356757, 0.0771784, 0.167355, 7.77174, 12.2156, 137.987, 4883.22, 42529.5, 50539.4, 30078.3, 518.341, 6.54159, 1.75563, 1.34599, 0.495271, 0.370945, 0.160419, 0.0596221, 0.0935448, 0.0697433, 0.0714971, 0.232317, 0.0445972
-1375.03,0.830901,0.0396874,3,8,1,1385.55,0.00707321,0.0342132,0.11839,0.234837,0.287023,0.18706,0.0653063,0.0410765,0.00441306,0.0206081,6.26631e-10,1.50814e-93,2.49226e-198,1.03398e-25,3.41855e-39,3.39617e-10,6.23038e-05,0.0102964,0.0507486,0.0417434,0.152281,0.213356,0.183128,0.0704651,0.073999,0.0780302,0.0771979,0.0486918,0.635113,0.364887
-1375.03,0,0.0396874,0,1,1,1387.76,0.00707321,0.0342132,0.11839,0.234837,0.287023,0.18706,0.0653063,0.0410765,0.00441306,0.0206081,6.26631e-10,1.50814e-93,2.49226e-198,1.03398e-25,3.41855e-39,3.39617e-10,6.23038e-05,0.0102964,0.0507486,0.0417434,0.152281,0.213356,0.183128,0.0704651,0.073999,0.0780302,0.0771979,0.0486918,0.635113,0.364887
-1374.99,0.5,0.0396874,1,2,1,1390.06,0.00691816,0.0342612,0.118679,0.23616,0.286706,0.185895,0.0656604,0.0432487,0.00451834,0.0179531,3.805e-10,1.35182e-92,7.15851e-198,8.5303e-24,2.59151e-38,1.15994e-09,6.30928e-05,0.00991816,0.0540699,0.0425133,0.158476,0.206772,0.181506,0.0700981,0.0730037,0.0778216,0.0774942,0.0482645,0.638685,0.361315
-1375.08,0.532968,0.0396874,1,3,1,1390.23,0.0070625,0.0341833,0.118649,0.235809,0.286332,0.185379,0.0665333,0.0426083,0.00529267,0.0181511,4.84335e-10,1.44139e-93,4.2409e-195,1.03398e-24,7.03591e-45,6.51522e-10,7.749e-05,0.0096609,0.0501377,0.0417263,0.161406,0.208127,0.184916,0.0695334,0.0725963,0.076347,0.0772847,0.0481871,0.639773,0.360227
-1375.08,0,0.0396874,0,1,1,1389.58,0.0070625,0.0341833,0.118649,0.235809,0.286332,0.185379,0.0665333,0.0426083,0.00529267,0.0181511,4.84335e-10,1.44139e-93,4.2409e-195,1.03398e-24,7.03591e-45,6.51522e-10,7.749e-05,0.0096609,0.0501377,0.0417263,0.161406,0.208127,0.184916,0.0695334,0.0725963,0.076347,0.0772847,0.0481871,0.639773,0.360227
-1375.08,0,0.0396874,0,1,1,1388.15,0.0070625,0.0341833,0.118649,0.235809,0.286332,0.185379,0.0665333,0.0426083,0.00529267,0.0181511,4.84335e-10,1.44139e-93,4.2409e-195,1.03398e-24,7.03591e-45,6.51522e-10,7.749e-05,0.0096609,0.0501377,0.0417263,0.161406,0.208127,0.184916,0.0695334,0.0725963,0.076347,0.0772847,0.0481871,0.639773,0.360227
-1376.94,0.905477,0.0396874,4,19,1,1396.88,0.0060719,0.0290311,0.124923,0.22794,0.295741,0.182573,0.0671418,0.0418521,0.000928179,0.0237973,2.9949e-07,9.3472e-100,5.86577e-235,2.38228e-21,1.01529e-98,3.11086e-17,0.000128438,0.0162279,0.0533232,0.028223,0.15393,0.210631,0.181978,0.0715907,0.075047,0.0811808,0.0749747,0.0527649,0.638501,0.361499
-1377.73,0.838646,0.0396874,2,7,1,1387.86,0.00606159,0.0292843,0.125525,0.227113,0.296071,0.182186,0.0680345,0.0378496,0.00142124,0.026454,2.33082e-07,5.04038e-105,2.93887e-239,3.70577e-22,2.52924e-95,1.39543e-16,0.000131619,0.0183192,0.0568829,0.0283966,0.165552,0.209747,0.174137,0.0679853,0.0726213,0.0817788,0.0747886,0.0496599,0.641212,0.358788
-1375.93,0.892576,0.0396874,4,17,1,1387.71,0.00622906,0.0311895,0.126327,0.227695,0.296121,0.180053,0.0688609,0.0447964,0.000551836,0.0181765,6.67334e-07,4.57668e-105,2.54486e-262,1.45054e-20,1.88315e-91,1.72301e-16,0.000301201,0.0175169,0.048312,0.0310554,0.158666,0.218785,0.16909,0.0665334,0.0740032,0.0887453,0.0777522,0.0492392,0.635862,0.364138
-1375.59,0.831806,0.0396874,2,6,1,1386.75,0.00610202,0.0299352,0.127788,0.223059,0.296628,0.184781,0.0677577,0.0510481,0.00053547,0.0123644,4.39793e-08,4.7429e-107,2.11617e-253,1.38139e-19,3.26057e-86,1.79883e-15,0.000267177,0.0194147,0.044491,0.029194,0.165097,0.213003,0.168772,0.0681031,0.0722906,0.0921343,0.0754272,0.0518058,0.634417,0.365583
-1375.52,0.749832,0.0396874,2,4,1,1387.71,0.00596508,0.0309674,0.128343,0.223455,0.29087,0.188342,0.0685141,0.0500041,0.000418136,0.0131215,2.01598e-08,3.35606e-105,3.155e-254,1.32349e-23,8.68668e-77,3.71995e-15,0.000305454,0.017493,0.0421793,0.0296045,0.162178,0.21688,0.174125,0.0667589,0.072994,0.0921497,0.0735172,0.0518154,0.637317,0.362683
