# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = _1D_unimode2_symmetric_Dirichtlet_model
# start_datetime = 2024-03-21 19:41:07 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.920000
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = models/unimode/1D21-03-2024.16.40UM.json
# init = 2 (Default)
# random
#   seed = 10
# output
#   file = models/notebooks/results/1D21-03-2024.16.40UM-results.csv
#   diagnostic_file = models/notebooks/results/1D21-03-2024.16.40UM-diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 18
# stanc_version = stanc3 v2.33.0-rc1-80-gb609679
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a_j.1,a_j.2,a_j.3,a_j.4,a_j.5,a_j.6,a_j.7,a_j.8,a_j.9,a_j.10,a_j.11,a_j.12,a_j.13,w_j_mode.1,w_j_mode.2,w_j_mode.3,w_j_mode.4,w_j_mode.5,w_j_mode.6,w_j_mode.7,w_j_mode.8,w_j_mode.9,w_j_mode.10,w_j_mode.11,w_j_mode.12,w_j_mode.13,w_j_mode.14,a_b.1,a_b.2,a_b.3,a_b.4,a_b.5,a_b.6,a_b.7,a_b.8,a_b.9,a_b.10,a_b.11,a_b.12,a_b.13,w_b_mode.1,w_b_mode.2,w_b_mode.3,w_b_mode.4,w_b_mode.5,w_b_mode.6,w_b_mode.7,w_b_mode.8,w_b_mode.9,w_b_mode.10,w_b_mode.11,w_b_mode.12,w_b_mode.13,w_b_mode.14,theta.1,theta.2,y5.1,y5.2,p_j.1,p_j.2,p_j.3,p_j.4,p_j.5,p_j.6,p_j.7,p_j.8,p_j.9,p_j.10,p_j.11,p_j.12,p_j.13,p_j.14,p_b.1,p_b.2,p_b.3,p_b.4,p_b.5,p_b.6,p_b.7,p_b.8,p_b.9,p_b.10,p_b.11,p_b.12,p_b.13,p_b.14
# Adaptation terminated
# Step size = 0.00500543
# Diagonal elements of inverse mass matrix:
# 0.177534, 0.0332002, 0.105446, 0.904502, 0.88868, 1.10291, 1.21888, 2.29645, 0.387731, 1.48174, 1.72418, 0.83811, 0.956911, 2251.99, 9404.59, 16765.5, 1023.06, 5120.49, 5096.51, 470.544, 4176.06, 5443.68, 9280.01, 3856.29, 2941.31, 4310.37, 0.755055, 1.3029, 0.815646, 0.51137, 0.774534, 0.667089, 0.995872, 2.12022, 1.15741, 0.998982, 1.0371, 2.23597, 1.20682, 3289.95, 7835.99, 7158.23, 2675.3, 3280.18, 4206.09, 3432.3, 7735.56, 2900.72, 2884.6, 13941, 2064.32, 3624.93, 4.28576
-1263.98,0.868383,0.00500543,7,172,1,1288.42,1.03553,1.19132,0.47144,0.0457514,0.0238909,0.470502,0.301882,0.680836,0.87052,0.333282,0.405385,0.592141,0.301115,2.07063e-57,0.000233708,0.000653461,2.97535e-56,0.470462,0.333626,0.195025,3.25639e-47,4.71513e-37,2.5643e-20,4.31735e-29,7.13968e-19,9.64639e-71,2.35915e-14,0.515837,0.735552,0.113766,0.346583,1.09123,0.532591,0.340655,0.778911,0.214339,0.808703,0.248821,0.143688,0.0507602,4.70456e-141,6.37472e-33,1.27809e-123,1.11184e-15,1.16439e-29,0.000206224,0.000147475,9.94935e-16,9.24499e-12,2.99372e-08,2.46647e-104,1.29173e-07,3.23086e-62,0.999646,0.874173,0.125827,0.0035622,0.174413,0.0112598,0.0317142,0.104104,0.166624,0.174413,0.174396,0.133411,0.0986472,0.0499346,0.0209093,0.0149829,0.00998943,0.00552557,0.00408888,0.000643161,0.00107732,0.00224797,0.00251883,0.0035622,0.010608,0.0180034,0.0252596,0.0549535,0.0680794,0.152803,0.195968,0.226248,0.238028
-1259.55,0.989318,0.00500543,8,391,1,1285.18,1.13868,1.27139,0.481461,0.0506424,0.0891687,0.260054,0.193768,0.183474,0.767169,0.231824,0.566942,0.467094,0.228182,3.00223e-60,6.59657e-10,8.24444e-15,7.42794e-50,0.999899,8.44342e-12,0.000101223,9.17561e-42,1.84727e-18,8.72679e-11,3.19925e-13,4.66373e-16,6.89753e-52,2.70739e-11,0.477791,0.442158,0.180694,0.206026,0.584857,0.783205,0.503908,0.308888,0.253339,0.78347,0.402864,0.29838,0.0705393,9.51279e-117,4.73074e-38,4.59511e-132,5.80271e-07,1.29448e-20,1.13145e-17,0.0393059,1.8924e-12,0.284674,0.000563155,1.64564e-121,4.13012e-21,3.6561e-70,0.675456,0.904966,0.0950345,0.0130295,0.165082,0.00870821,0.0271927,0.0969639,0.15693,0.165082,0.151001,0.11643,0.0959209,0.079842,0.0370727,0.0294018,0.0166784,0.0104544,0.00832147,0.00352737,0.00568791,0.00885074,0.0106036,0.0130295,0.0233844,0.0511761,0.0745728,0.0979056,0.0911795,0.107599,0.140898,0.180063,0.191524
-1264.32,0.987639,0.00500543,8,485,1,1289.71,1.42141,1.28337,0.471044,0.0381573,0.0709968,0.145965,0.258726,0.583829,0.731524,0.392368,0.109403,0.258626,0.241237,8.75695e-64,3.73346e-43,5.56747e-49,2.30399e-59,5.9494e-06,0.977819,0.0221411,1.5333e-21,8.19416e-28,1.36873e-08,6.92259e-10,3.43146e-05,1.81598e-63,6.57162e-17,0.292677,0.180056,0.217853,0.274851,0.178651,0.629702,0.590677,0.555303,0.428077,0.66268,0.20732,0.0581044,0.0543331,1.70686e-119,6.28431e-38,3.81806e-115,6.92218e-46,2.85544e-05,4.40911e-20,6.58407e-12,4.89296e-25,1.3569e-24,5.29334e-24,1.30092e-88,7.77675e-19,1.86875e-71,0.999971,0.925862,0.0741382,0.00759049,0.153752,0.0061802,0.0256044,0.0924009,0.147995,0.153752,0.165064,0.14359,0.110857,0.0618328,0.0297557,0.0201021,0.0180203,0.0139137,0.0109314,0.00289058,0.00387341,0.00463757,0.00576638,0.00759049,0.00907324,0.0170247,0.0307301,0.0535447,0.0821532,0.159375,0.196091,0.207823,0.219427
-1273.1,0.994624,0.00500543,9,758,1,1289.02,1.21655,1.39059,0.680689,0.0159141,0.0931171,0.368882,0.232869,0.45759,0.492744,0.160955,0.0620437,0.481591,0.360209,6.80352e-83,9.95417e-21,2.65943e-85,1.69293e-72,2.37025e-40,1,1.42336e-10,2.99389e-25,8.35929e-56,9.24362e-37,9.78178e-13,5.80103e-24,3.53364e-45,1.56421e-19,0.205644,0.292431,0.279539,0.404636,0.174421,0.896122,0.751918,0.372025,0.317216,0.514315,0.275521,0.204193,0.0233623,7.7914e-123,1.67185e-23,1.98599e-141,7.63002e-31,1.18931e-11,3.00653e-16,7.91222e-33,1.10298e-37,3.27976e-36,0.85711,5.56035e-56,1.42594e-06,1.99011e-75,0.142889,0.951969,0.0480314,0.016143,0.158903,0.00583896,0.0197095,0.0791773,0.156394,0.158903,0.17441,0.120606,0.0955509,0.0604653,0.0369411,0.0314491,0.0295572,0.0182604,0.0127372,0.00494926,0.00607926,0.00814426,0.0107709,0.016143,0.0192192,0.0470886,0.0998781,0.14489,0.198977,0.13162,0.110909,0.101089,0.100241
-1272.11,0.964197,0.00500543,5,43,1,1307.1,1.19271,1.40864,0.689986,0.01602,0.0905754,0.344259,0.201755,0.411864,0.470721,0.148693,0.0640732,0.448559,0.419159,4.96456e-81,1.41403e-20,1.38728e-87,5.2168e-72,1.24934e-37,1,2.85648e-10,6.24916e-24,1.00482e-57,1.33314e-34,6.81705e-11,9.33275e-24,7.4068e-46,9.38191e-21,0.201588,0.31824,0.266802,0.411751,0.169993,0.912172,0.751681,0.385898,0.335099,0.523737,0.256444,0.204961,0.025049,1.03086e-123,1.33009e-22,2.541e-141,2.77304e-30,2.59806e-10,3.69255e-18,3.69645e-34,4.58943e-39,6.96732e-35,0.197906,5.18082e-57,0.000337818,3.09417e-74,0.801756,0.957428,0.042572,0.00857116,0.154201,0.00564574,0.0186084,0.0761155,0.15175,0.154201,0.16882,0.11965,0.0977897,0.0647773,0.0404567,0.034867,0.032703,0.0208824,0.0137323,0.00258576,0.00316328,0.00434858,0.0056783,0.00857116,0.0101594,0.025294,0.0536375,0.0788973,0.110305,0.138367,0.165403,0.194736,0.198855
-1271,0.979896,0.00500543,6,72,1,1298.26,1.12735,1.38174,0.659952,0.0166642,0.113883,0.334213,0.186613,0.572256,0.366977,0.220966,0.0803971,0.421594,0.365348,3.15803e-86,4.39195e-22,4.74091e-76,1.48043e-73,4.76641e-37,1,9.80601e-09,9.50364e-22,3.02994e-61,1.17429e-39,1.66161e-09,4.61071e-16,1.98355e-33,1.66572e-10,0.148156,0.290296,0.291292,0.410088,0.166892,0.76316,0.982243,0.467278,0.290551,0.549053,0.24561,0.213355,0.0250065,1.31909e-128,1.5576e-21,2.23585e-139,1.20819e-31,4.13402e-09,6.67005e-10,1.67533e-35,3.3897e-39,1.13922e-37,0.0222763,9.38749e-61,0.0020577,2.47924e-72,0.975666,0.969615,0.0303849,0.00591587,0.153838,0.00636106,0.0196396,0.0782013,0.151296,0.153838,0.172395,0.123418,0.102408,0.0577835,0.0400339,0.032097,0.0296175,0.0194291,0.0134829,0.00189233,0.00219452,0.00293369,0.00392573,0.00591587,0.00699036,0.0149946,0.0400422,0.0638931,0.0854356,0.142126,0.180251,0.221947,0.227457
