# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = _1D_dirichlet_model
# start_datetime = 2024-03-01 20:05:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.900000
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = models/dirichlet/1D01-03-2024.17.05Dr.json
# init = 2 (Default)
# random
#   seed = 30
# output
#   file = models/notebooks/results/1D01-03-2024.17.05Dr-results.csv
#   diagnostic_file = models/notebooks/results/1D01-03-2024.17.05Dr-diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 18
# stanc_version = stanc3 v2.33.0-rc1-80-gb609679
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,yj.1,yj.2,yj.3,yj.4,yj.5,yj.6,yj.7,yj.8,yj.9,yj.10,yj.11,yj.12,yj.13,yj.14,yb.1,yb.2,yb.3,yb.4,yb.5,yb.6,yb.7,yb.8,yb.9,yb.10,yb.11,yb.12,yb.13,yb.14,theta.1,theta.2
# Adaptation terminated
# Step size = 0.02946
# Diagonal elements of inverse mass matrix:
# 34.2657, 0.140748, 0.0116069, 0.0163463, 0.0126197, 0.0392289, 0.115774, 1.25671, 14.322, 198.714, 2459.46, 25696.8, 31335.9, 40428.4, 20.0052, 24.862, 3.63982, 0.563786, 0.413986, 0.337827, 0.194183, 0.0656919, 0.0451647, 0.0321944, 0.0567262, 0.0994103, 0.0205129
-1394.65,0.75,0.02946,2,4,1,1404.26,7.31914e-05,0.0299249,0.15645,0.200871,0.198064,0.159343,0.14807,0.0893364,0.0178675,1.1382e-12,1.24123e-15,1.07114e-238,1.37673e-22,2.11589e-37,1.6605e-68,3.26745e-08,3.91122e-06,0.0180279,0.085644,0.0189257,0.040287,0.127648,0.214171,0.0595509,0.0892333,0.185872,0.0925051,0.0681309,0.725082,0.274918
-1394.63,0.652232,0.02946,1,3,1,1407.36,6.59594e-05,0.0301042,0.15679,0.201074,0.197986,0.15876,0.147287,0.090027,0.0179063,9.18369e-13,8.26693e-16,9.67692e-236,3.9895e-23,2.99751e-37,3.01268e-65,3.55062e-08,3.66322e-06,0.017151,0.0846125,0.018652,0.0405847,0.126645,0.213018,0.0596133,0.0899072,0.187461,0.0940721,0.0682793,0.724023,0.275977
-1393.94,0.75,0.02946,2,4,1,1412.59,9.37274e-05,0.028906,0.156876,0.202666,0.197318,0.159824,0.14539,0.0913863,0.01754,7.21532e-13,4.29731e-15,1.61574e-237,2.34672e-23,1.59282e-31,1.9349e-63,2.5584e-08,6.61237e-06,0.0152848,0.0841533,0.0181441,0.0413189,0.124316,0.213184,0.0599175,0.0906144,0.187684,0.0977386,0.0676371,0.721396,0.278604
-1392.91,0.918296,0.02946,4,19,1,1411.99,5.49182e-05,0.0252037,0.155368,0.205085,0.187823,0.171544,0.143296,0.0949977,0.0166276,2.87433e-13,3.05479e-16,2.1695e-241,1.83649e-34,7.90086e-23,2.63994e-50,2.55275e-08,1.91323e-05,0.0101845,0.07558,0.0174653,0.0507025,0.116962,0.221407,0.0620988,0.100144,0.191846,0.0929834,0.0606076,0.730875,0.269125
-1393.05,0.954935,0.02946,4,29,1,1401.53,2.4414e-05,0.0228478,0.161207,0.207553,0.18151,0.173389,0.153007,0.0823973,0.0180639,1.29798e-13,3.92704e-18,6.97144e-255,2.12641e-37,1.44068e-28,8.99447e-37,2.25839e-08,1.41934e-05,0.0106093,0.072785,0.0194225,0.0446302,0.117771,0.236576,0.0627144,0.0967377,0.190834,0.0955546,0.0523509,0.724639,0.275361
-1395.07,0.932124,0.02946,3,15,1,1409.42,2.50859e-05,0.0214629,0.158348,0.208455,0.182687,0.169571,0.153003,0.086115,0.0203327,1.70769e-13,4.45444e-19,9.91757e-234,6.61782e-45,1.04749e-25,2.74788e-24,8.3452e-09,6.00123e-06,0.012446,0.0787874,0.019412,0.038311,0.12884,0.242109,0.0605678,0.0940015,0.187272,0.0887998,0.0494483,0.726174,0.273826
-1396.17,0.945311,0.02946,4,21,1,1408.65,4.52723e-06,0.0196641,0.162233,0.220594,0.181193,0.167305,0.142677,0.0884507,0.0178781,2.30002e-13,1.03718e-18,2.77841e-216,1.07953e-53,5.04919e-29,4.89146e-45,1.72708e-09,3.36437e-06,0.0139051,0.079147,0.0150209,0.0432214,0.120319,0.238364,0.0612082,0.0984111,0.195619,0.0870743,0.0477062,0.725225,0.274775
-1399.18,0.970026,0.02946,5,35,1,1414.98,0.00293658,0.0239424,0.16141,0.232499,0.185202,0.155937,0.143393,0.0801586,0.0145212,2.72525e-15,8.8187e-60,1.42541e-192,1.36125e-217,7.48471e-27,5.281e-53,4.84256e-10,9.21834e-08,0.00661903,0.0434433,0.0462267,0.0216197,0.126188,0.262376,0.0677957,0.0911705,0.187128,0.0988688,0.0485642,0.716838,0.283162
-1398.27,0.971934,0.02946,5,36,1,1418.05,0.000938323,0.0219674,0.145709,0.227203,0.188416,0.173706,0.145035,0.0875441,0.00948015,6.1548e-15,6.91474e-60,1.1697e-175,1.33966e-266,2.34109e-24,7.43573e-62,2.12898e-09,5.57431e-08,0.0106858,0.0467655,0.037659,0.025745,0.140626,0.277783,0.0688684,0.0836433,0.171892,0.0911341,0.0451976,0.720423,0.279577
-1390.18,0.980433,0.02946,6,72,1,1412.3,4.36658e-08,0.0288669,0.130494,0.235735,0.156847,0.188179,0.176768,0.0812661,0.00184468,2.6365e-10,6.20585e-19,4.28038e-155,3.98586e-226,2.38051e-19,8.96022e-187,2.2245e-10,6.87577e-07,0.0195248,0.0214951,0.0432211,0.0430509,0.0924555,0.24556,0.102633,0.100014,0.157175,0.122786,0.0520844,0.714144,0.285856
-1389.71,0.943511,0.02946,4,26,1,1409.64,3.5023e-07,0.026928,0.128345,0.239308,0.157451,0.186106,0.175938,0.0839859,0.00193734,3.16121e-10,1.36097e-23,4.89598e-158,5.46481e-221,1.73766e-20,3.17851e-187,1.57335e-10,3.60638e-07,0.0141185,0.0205626,0.0353357,0.0532271,0.0976937,0.247824,0.0995249,0.09529,0.162874,0.122935,0.0506152,0.715053,0.284947
-1389.31,0.979892,0.02946,5,50,1,1404.26,1.97713e-06,0.0284024,0.127363,0.2571,0.158907,0.178485,0.158901,0.0892621,0.00157731,3.63327e-09,1.01967e-17,1.41445e-243,4.07488e-235,1.99417e-19,6.00715e-124,8.45309e-08,1.43008e-06,0.00783459,0.0131747,0.0412414,0.050793,0.0869122,0.228539,0.115071,0.106908,0.157518,0.1339,0.0581075,0.696153,0.303847
-1390.14,0.962384,0.02946,4,31,1,1406.18,5.81348e-07,0.024751,0.127631,0.244707,0.168845,0.183557,0.144895,0.103471,0.00214294,9.0598e-10,1.47632e-12,1.43175e-236,1.11421e-207,9.43462e-24,4.02762e-110,1.3526e-07,3.27118e-08,0.008353,0.00887329,0.039526,0.0542149,0.0952967,0.226227,0.13201,0.100778,0.161827,0.119036,0.0538573,0.698317,0.301683
