# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = _1D_unimode2_symmetric_Dirichtlet_model
# start_datetime = 2024-03-21 19:41:07 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.920000
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = models/unimode/1D21-03-2024.16.40UM.json
# init = 2 (Default)
# random
#   seed = 10
# output
#   file = models/notebooks/results/1D21-03-2024.16.40UM-results.csv
#   diagnostic_file = models/notebooks/results/1D21-03-2024.16.40UM-diagnostic.csv
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 18
# stanc_version = stanc3 v2.33.0-rc1-80-gb609679
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a_j.1,a_j.2,a_j.3,a_j.4,a_j.5,a_j.6,a_j.7,a_j.8,a_j.9,a_j.10,a_j.11,a_j.12,a_j.13,w_j_mode.1,w_j_mode.2,w_j_mode.3,w_j_mode.4,w_j_mode.5,w_j_mode.6,w_j_mode.7,w_j_mode.8,w_j_mode.9,w_j_mode.10,w_j_mode.11,w_j_mode.12,w_j_mode.13,w_j_mode.14,a_b.1,a_b.2,a_b.3,a_b.4,a_b.5,a_b.6,a_b.7,a_b.8,a_b.9,a_b.10,a_b.11,a_b.12,a_b.13,w_b_mode.1,w_b_mode.2,w_b_mode.3,w_b_mode.4,w_b_mode.5,w_b_mode.6,w_b_mode.7,w_b_mode.8,w_b_mode.9,w_b_mode.10,w_b_mode.11,w_b_mode.12,w_b_mode.13,w_b_mode.14,theta.1,theta.2,y5.1,y5.2,p_j.1,p_j.2,p_j.3,p_j.4,p_j.5,p_j.6,p_j.7,p_j.8,p_j.9,p_j.10,p_j.11,p_j.12,p_j.13,p_j.14,p_b.1,p_b.2,p_b.3,p_b.4,p_b.5,p_b.6,p_b.7,p_b.8,p_b.9,p_b.10,p_b.11,p_b.12,p_b.13,p_b.14
# Adaptation terminated
# Step size = 0.00680956
# Diagonal elements of inverse mass matrix:
# 0.114323, 0.0427151, 0.131483, 1.08541, 1.35821, 1.65582, 0.814162, 0.247321, 0.258984, 0.828323, 1.71967, 0.853849, 1.82948, 3062.05, 11831.2, 3136.69, 19.3897, 5407.93, 2504.76, 2103.13, 13995.6, 9799.22, 2049.41, 2822.61, 6115.74, 13607.1, 0.885662, 0.958663, 1.12542, 1.40232, 0.378222, 0.967486, 1.18292, 1.78443, 1.13965, 2.58349, 1.31826, 0.816676, 1.2326, 5638.75, 5198.49, 4298.78, 5480.92, 2943.95, 5241.59, 5550.95, 3351.33, 2919.28, 4079.88, 6310.25, 4050.12, 4112.62, 1.02148
-1271.96,0.989174,0.00680956,6,98,1,1295.7,0.824222,1.42867,0.387615,0.0509087,0.162704,0.0033788,0.0860682,0.449429,0.967223,0.177347,0.580496,0.071079,0.324648,4.4674e-07,4.81307e-06,5.12316e-19,0.99451,5.09048e-27,7.23092e-21,9.03185e-15,3.46496e-27,5.17255e-54,3.7947e-57,3.71025e-27,2.37329e-39,3.45344e-24,0.00548428,0.488956,0.0232836,0.529806,0.389894,0.457484,0.215658,0.0949812,0.0876085,0.201069,0.183552,0.0397481,0.22582,0.277548,6.06306e-37,1.04502e-52,2.3584e-64,2.4978e-29,1.45538e-22,2.31054e-110,0.0213002,1.12142e-63,1.01125e-46,3.90325e-76,5.13497e-41,2.67417e-65,7.39795e-12,0.9787,0.897649,0.102351,0.0328774,0.151724,0.0113873,0.0259639,0.108343,0.159639,0.151724,0.128972,0.128537,0.117955,0.0753633,0.0290605,0.0245096,0.0144219,0.0135786,0.0105435,0.0078526,0.0128046,0.0131062,0.0222622,0.0328774,0.0519493,0.0644523,0.0703329,0.0763187,0.0923558,0.110248,0.11459,0.142915,0.187936
-1270.91,0.990062,0.00680956,8,261,1,1297.2,1.07223,1.40156,0.652718,0.21479,0.322766,0.000958563,0.109937,0.408865,0.605783,0.113233,0.623808,0.0591681,0.840389,1.87816e-12,1.23518e-06,2.54224e-06,0.997349,5.59936e-19,3.3105e-16,1.63656e-35,4.21902e-51,2.21687e-59,4.06655e-60,3.57858e-12,2.11753e-15,2.06788e-33,0.00264711,0.491242,0.016722,0.179797,1.14866,0.251428,0.590442,0.326395,0.0670125,0.76894,0.530022,0.0820234,0.215345,0.0717287,3.67608e-11,1.25399e-38,1.67253e-56,4.44923e-31,2.20744e-25,7.83731e-83,0.387524,1.91126e-86,2.47295e-52,3.63396e-68,6.73627e-63,3.45153e-58,0.0982401,0.514236,0.909201,0.0907994,0.0427858,0.157517,0.00856545,0.0250273,0.101648,0.195239,0.157517,0.114095,0.113986,0.102132,0.0679162,0.0371942,0.0332562,0.0181103,0.0171177,0.00819617,0.00681951,0.0111454,0.0113334,0.0135658,0.0427858,0.0550165,0.0992931,0.0833329,0.0812024,0.0818103,0.110622,0.117608,0.139855,0.145611
-1271.04,0.869414,0.00680956,8,263,1,1296.42,0.991398,1.24318,0.6606,0.245418,0.0772285,0.00190177,0.0664746,0.762688,0.45049,0.120972,0.359545,0.192509,0.358502,5.33602e-05,1.50144e-37,2.4804e-43,0.999841,1.80088e-24,6.72196e-50,8.62889e-06,6.55232e-60,9.62807e-41,3.32285e-69,9.73201e-05,1.29552e-10,2.20999e-53,2.43645e-08,0.477827,0.0402625,0.371662,0.150096,0.484971,0.2611,0.235328,0.335812,0.167764,0.56977,0.0369429,0.396039,0.0581993,8.78717e-32,2.68211e-70,1.30968e-14,1.84383e-37,6.89348e-13,4.22636e-66,3.46727e-29,1.98478e-126,4.0484e-70,1.23195e-93,2.38503e-13,1.32631e-56,1,3.05514e-07,0.955069,0.0449309,0.0174772,0.1392,0.00986724,0.0265213,0.0919038,0.177917,0.1392,0.128855,0.128611,0.12034,0.0561358,0.0357857,0.031712,0.0221348,0.0182587,0.0127578,0.00617834,0.00996299,0.0103723,0.0150413,0.0174772,0.0283852,0.0368542,0.0466325,0.0652423,0.0771593,0.136407,0.14154,0.210319,0.198428
-1272.89,0.971892,0.00680956,5,44,1,1309.81,0.991926,1.24955,0.642782,0.28206,0.0819874,0.00169269,0.0720777,0.801735,0.445911,0.125489,0.399718,0.222019,0.455436,1.3781e-06,3.42631e-39,6.65212e-45,0.999782,2.67779e-28,2.19331e-47,4.24388e-05,3.61539e-57,1.43656e-43,1.77755e-67,0.000174059,2.56877e-12,1.72101e-64,1.5451e-12,0.513718,0.0405895,0.362882,0.122451,0.475792,0.232722,0.210985,0.306197,0.174956,0.497133,0.0376641,0.465751,0.0557213,2.02115e-30,8.58634e-71,7.08672e-19,5.35864e-38,1.06763e-11,6.75426e-69,1.76541e-26,4.29815e-128,3.01472e-71,2.23856e-92,1.5115e-17,8.79629e-56,1,3.4427e-07,0.952982,0.0470182,0.0191826,0.139342,0.010327,0.0278442,0.0971413,0.18474,0.139342,0.128376,0.128159,0.119247,0.0535034,0.0342724,0.0302379,0.0202748,0.0162381,0.0102977,0.00678263,0.0113371,0.0118068,0.0169718,0.0191826,0.0308704,0.0389594,0.0481107,0.0653464,0.0778402,0.127969,0.132881,0.211708,0.200234
-1268.85,0.979368,0.00680956,6,122,1,1288.54,1.01834,1.2785,0.782826,0.227506,0.0818966,0.00285207,0.100505,0.62513,0.436607,0.167265,0.399241,0.368946,0.396802,3.73964e-06,3.00914e-34,1.38088e-45,0.999679,9.61233e-32,3.82786e-51,7.66252e-07,1.08399e-50,4.50799e-52,9.6609e-65,6.07105e-06,0.000310014,3.51094e-41,4.74012e-14,0.377224,0.0456702,0.335261,0.137287,0.485979,0.287699,0.372201,0.545947,0.230003,0.445312,0.0316067,0.441779,0.0388049,6.34435e-39,2.2886e-63,1.97946e-15,7.94491e-31,7.98245e-06,3.6382e-73,1.84467e-25,1.00059e-132,9.4429e-66,3.43811e-89,1.00241e-18,6.13864e-56,0.00190912,0.998083,0.941933,0.058067,0.0126115,0.141916,0.00819333,0.0226786,0.0814418,0.178165,0.141916,0.130759,0.130386,0.117921,0.0631283,0.0408175,0.0345436,0.0232092,0.0160483,0.0107919,0.00515086,0.00751114,0.00786213,0.0109937,0.0126115,0.0205018,0.0273357,0.0396615,0.0684649,0.08617,0.134509,0.138828,0.215944,0.224455
-1277.9,0.992301,0.00680956,7,149,1,1305.36,0.52361,1.05925,0.78682,0.296132,0.176896,0.00322182,0.219442,0.685175,0.40211,0.0593652,0.191036,0.417274,0.616415,7.90392e-09,5.94993e-11,1.05782e-41,0.999987,1.08447e-52,6.11987e-67,1.319e-05,1.25224e-49,9.51718e-42,1.34923e-72,2.46252e-09,2.36982e-34,3.16216e-29,5.3105e-22,0.619463,0.0266268,0.376323,0.0181675,0.534891,0.27296,0.804837,0.591272,0.294998,0.168218,0.0214886,0.331694,0.0188242,7.60244e-14,1.39212e-37,5.71247e-13,1.11429e-27,0.00466682,1.52246e-119,5.37496e-25,3.50063e-130,6.04961e-62,2.61847e-95,2.62421e-08,4.18259e-44,2.13921e-41,0.995333,0.931731,0.0682686,0.0104141,0.147706,0.0185724,0.0313522,0.0904259,0.198611,0.147706,0.123759,0.12336,0.0990543,0.0499235,0.0333942,0.0314695,0.025997,0.0171279,0.00924693,0.00367878,0.00683492,0.00701936,0.0102266,0.0104141,0.0167964,0.0217841,0.0480171,0.0865136,0.11614,0.137392,0.140374,0.195547,0.199261
