lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,y8.1,y8.2,yj_remain.1,yj_remain.2,yj_remain.3,yj_remain.4,yj_remain.5,yj_remain.6,yj_remain.7,yj_remain.8,yj_remain.9,yj_remain.10,yj_remain.11,yj_remain.12,yj_remain.13,yb_remain.1,yb_remain.2,yb_remain.3,yb_remain.4,yb_remain.5,yb_remain.6,yb_remain.7,yb_remain.8,yb_remain.9,yb_remain.10,yb_remain.11,yb_remain.12,yb_remain.13,theta.1,theta.2,yj.1,yj.2,yj.3,yj.4,yj.5,yj.6,yj.7,yj.8,yj.9,yj.10,yj.11,yj.12,yj.13,yj.14,yb.1,yb.2,yb.3,yb.4,yb.5,yb.6,yb.7,yb.8,yb.9,yb.10,yb.11,yb.12,yb.13,yb.14
# Adaptation terminated
# Step size = 0.00067277
# Diagonal elements of inverse mass matrix:
# 0.235893, 0.141447, 0.137806, 0.130996, 0.137676, 0.139175, 0.126518, 0.139045, 0.172399, 0.190852, 0.188924, 0.189249, 0.19926, 0.21262, 0.22919, 0.242915, 0.23771, 0.232248, 0.227536, 0.271127, 0.297892, 0.257967, 0.187021, 0.172475, 0.212104, 0.234796, 0.213824, 0.180791, 0.135063
-1091.83,0.77701,0.00067277,13,8191,0,1110.4,-3.51164,-1.51309,-5.87325,-2.79547,-1.81963,-1.53333,-1.56547,-1.78118,-2.40206,-3.59073,-5.35279,-7.59785,-10.3609,-14.4557,-24.0107,-10.3174,-6.5628,-5.08437,-4.2196,-2.98562,-2.72584,-2.63472,-2.60253,-2.54049,-2.38119,-2.2734,-2.44699,-3.36295,0.748979,0.251021,-5.87325,-2.79547,-1.81963,-1.53333,-1.51309,-1.56547,-1.78118,-2.40206,-3.59073,-5.35279,-7.59785,-10.3609,-14.4557,-24.0107,-10.3174,-6.5628,-5.08437,-4.2196,-3.51164,-2.98562,-2.72584,-2.63472,-2.60253,-2.54049,-2.38119,-2.2734,-2.44699,-3.36295
-1085.43,0.991321,0.00067277,12,8191,0,1102.99,-3.46227,-1.21493,-6.3523,-3.07709,-1.77497,-1.23453,-1.41534,-1.71161,-2.30184,-3.48489,-5.36723,-7.80754,-10.7669,-14.9865,-24.475,-10.6148,-6.79327,-5.12021,-4.1354,-2.87546,-2.47518,-2.47559,-2.69452,-2.69237,-2.39651,-2.142,-2.23866,-3.23885,0.77089,0.22911,-6.3523,-3.07709,-1.77497,-1.23453,-1.21493,-1.41534,-1.71161,-2.30184,-3.48489,-5.36723,-7.80754,-10.7669,-14.9865,-24.475,-10.6148,-6.79327,-5.12021,-4.1354,-3.46227,-2.87546,-2.47518,-2.47559,-2.69452,-2.69237,-2.39651,-2.142,-2.23866,-3.23885
-1088.82,0.953512,0.00067277,12,8191,0,1100.59,-3.11757,-1.0735,-5.66889,-2.52611,-1.52846,-1.12422,-1.35279,-1.89182,-2.66946,-3.76868,-5.2902,-7.33676,-10.2484,-14.9829,-25.2871,-10.5375,-6.73223,-5.05895,-3.99619,-2.32412,-1.82139,-1.84413,-2.28239,-2.62825,-2.52649,-2.21843,-2.1517,-2.89533,0.671559,0.328441,-5.66889,-2.52611,-1.52846,-1.12422,-1.0735,-1.35279,-1.89182,-2.66946,-3.76868,-5.2902,-7.33676,-10.2484,-14.9829,-25.2871,-10.5375,-6.73223,-5.05895,-3.99619,-3.11757,-2.32412,-1.82139,-1.84413,-2.28239,-2.62825,-2.52649,-2.21843,-2.1517,-2.89533
-1086.92,0.838021,0.00067277,14,16383,0,1102.87,-3.40961,-2.19427,-6.49509,-3.48921,-2.50795,-2.19114,-2.30082,-2.52534,-3.0848,-4.16614,-5.77223,-7.86499,-10.7342,-15.2753,-25.1734,-11.3789,-7.42094,-5.46048,-4.21238,-2.8161,-2.40287,-2.33711,-2.53957,-2.59209,-2.27115,-1.85055,-1.76666,-2.69059,0.749383,0.250617,-6.49509,-3.48921,-2.50795,-2.19114,-2.19427,-2.30082,-2.52534,-3.0848,-4.16614,-5.77223,-7.86499,-10.7342,-15.2753,-25.1734,-11.3789,-7.42094,-5.46048,-4.21238,-3.40961,-2.8161,-2.40287,-2.33711,-2.53957,-2.59209,-2.27115,-1.85055,-1.76666,-2.69059
-1086.68,0.912793,0.00067277,13,12287,0,1097.81,-4.08591,-1.66008,-7.33285,-3.87559,-2.33507,-1.69032,-1.84737,-2.09036,-2.5638,-3.57477,-5.29839,-7.62925,-10.5603,-14.9006,-24.5944,-10.3535,-6.74796,-5.35375,-4.63223,-3.56992,-3.13404,-2.74009,-2.33451,-1.98321,-1.69078,-1.43156,-1.45809,-2.54546,0.820556,0.179444,-7.33285,-3.87559,-2.33507,-1.69032,-1.66008,-1.84737,-2.09036,-2.5638,-3.57477,-5.29839,-7.62925,-10.5603,-14.9006,-24.5944,-10.3535,-6.74796,-5.35375,-4.63223,-4.08591,-3.56992,-3.13404,-2.74009,-2.33451,-1.98321,-1.69078,-1.43156,-1.45809,-2.54546
-1086.02,0.996588,0.00067277,13,8191,0,1100.1,-3.87591,-1.78718,-6.45318,-3.61304,-2.57524,-1.97891,-1.9447,-2.26555,-2.7441,-3.58238,-4.92742,-6.89847,-9.84702,-14.555,-24.6134,-10.1234,-6.65135,-5.33867,-4.54054,-3.21632,-2.64652,-2.33064,-2.17215,-1.90901,-1.47576,-1.08464,-1.09573,-2.16261,0.815315,0.184685,-6.45318,-3.61304,-2.57524,-1.97891,-1.78718,-1.9447,-2.26555,-2.7441,-3.58238,-4.92742,-6.89847,-9.84702,-14.555,-24.6134,-10.1234,-6.65135,-5.33867,-4.54054,-3.87591,-3.21632,-2.64652,-2.33064,-2.17215,-1.90901,-1.47576,-1.08464,-1.09573,-2.16261
-1087.57,0.828467,0.00067277,13,8191,0,1100.54,-3.69938,-1.53205,-6.92275,-3.45716,-2.11869,-1.59863,-1.70081,-2.02241,-2.60923,-3.71155,-5.49495,-7.8765,-10.8001,-15.0232,-24.5776,-12.1294,-8.11193,-6.06838,-4.68865,-3.07836,-2.84844,-2.82749,-2.76469,-2.57193,-2.24846,-1.91882,-1.96858,-3.07542,0.805585,0.194415,-6.92275,-3.45716,-2.11869,-1.59863,-1.53205,-1.70081,-2.02241,-2.60923,-3.71155,-5.49495,-7.8765,-10.8001,-15.0232,-24.5776,-12.1294,-8.11193,-6.06838,-4.68865,-3.69938,-3.07836,-2.84844,-2.82749,-2.76469,-2.57193,-2.24846,-1.91882,-1.96858,-3.07542
-1095.4,0.974693,0.00067277,13,8191,0,1104.81,-3.40114,-1.30583,-7.14293,-3.63165,-2.12837,-1.41391,-1.55999,-1.90342,-2.41641,-3.44796,-5.16713,-7.45053,-10.2943,-14.5607,-24.3484,-10.2018,-6.01705,-4.29796,-3.57065,-3.36422,-3.1199,-2.72381,-2.44977,-2.32882,-2.08805,-1.65985,-1.57176,-2.74096,0.809994,0.190006,-7.14293,-3.63165,-2.12837,-1.41391,-1.30583,-1.55999,-1.90342,-2.41641,-3.44796,-5.16713,-7.45053,-10.2943,-14.5607,-24.3484,-10.2018,-6.01705,-4.29796,-3.57065,-3.40114,-3.36422,-3.1199,-2.72381,-2.44977,-2.32882,-2.08805,-1.65985,-1.57176,-2.74096
-1103.1,0.906744,0.00067277,13,8191,0,1115.16,-3.30867,-2.47773,-6.78907,-4.05664,-3.12264,-2.63932,-2.58707,-2.88919,-3.40288,-4.32991,-5.83319,-7.90673,-10.7638,-15.3095,-25.3479,-11.4528,-7.81461,-5.83657,-4.381,-2.53253,-2.10229,-2.03542,-2.07643,-1.89778,-1.55632,-1.32146,-1.24644,-1.84815,0.767096,0.232904,-6.78907,-4.05664,-3.12264,-2.63932,-2.47773,-2.58707,-2.88919,-3.40288,-4.32991,-5.83319,-7.90673,-10.7638,-15.3095,-25.3479,-11.4528,-7.81461,-5.83657,-4.381,-3.30867,-2.53253,-2.10229,-2.03542,-2.07643,-1.89778,-1.55632,-1.32146,-1.24644,-1.84815
-1100.04,0.886419,0.00067277,13,8191,0,1121.72,-3.41655,-1.99432,-7.06885,-3.92021,-2.75602,-2.20582,-2.0231,-2.30423,-2.96071,-4.15842,-5.97066,-8.33084,-11.2047,-15.238,-24.5809,-10.6917,-7.08155,-5.25618,-4.0537,-3.08065,-2.78881,-2.49684,-2.18728,-1.76855,-1.27242,-1.0027,-1.24805,-2.30628,0.798358,0.201642,-7.06885,-3.92021,-2.75602,-2.20582,-1.99432,-2.0231,-2.30423,-2.96071,-4.15842,-5.97066,-8.33084,-11.2047,-15.238,-24.5809,-10.6917,-7.08155,-5.25618,-4.0537,-3.41655,-3.08065,-2.78881,-2.49684,-2.18728,-1.76855,-1.27242,-1.0027,-1.24805,-2.30628
